,0,1,2,3+,total
A,59,121,20,0,200
B,22,59,64,55,200
C,31,107,62,0,200
D,42,101,56,1,200
E,8,54,70,68,200
F,16,94,89,1,200
G,28,84,65,23,200
H,24,172,4,0,200
I,81,101,16,2,200
J,37,131,31,1,200
K,124,74,0,2,200
L,18,179,3,0,200
M,149,51,0,0,200
N,185,15,0,0,200
O,36,99,65,0,200
P,29,84,86,1,200
Q,42,99,58,1,200
R,74,79,44,3,200
S,22,90,69,19,200
T,31,158,11,0,200
U,114,84,2,0,200
V,178,22,0,0,200
W,178,21,1,0,200
X,182,16,2,0,200
Y,138,59,3,0,200
Z,6,57,131,6,200
