,0,1,2,3+,total
A,53,146,1,0,200
B,15,66,117,2,200
C,197,3,0,0,200
D,23,176,1,0,200
E,188,11,1,0,200
F,190,10,0,0,200
G,143,53,3,1,200
H,196,3,1,0,200
I,200,0,0,0,200
J,197,3,0,0,200
K,200,0,0,0,200
L,200,0,0,0,200
M,199,1,0,0,200
N,200,0,0,0,200
O,13,185,2,0,200
P,23,175,2,0,200
Q,17,154,29,0,200
R,53,147,0,0,200
S,190,9,1,0,200
T,200,0,0,0,200
U,200,0,0,0,200
V,200,0,0,0,200
W,198,1,1,0,200
X,200,0,0,0,200
Y,198,2,0,0,200
Z,200,0,0,0,200
