,0,1,2,3+,total
A,52,98,45,5,200
B,78,90,29,3,200
C,77,115,8,0,200
D,48,107,44,1,200
E,92,91,17,0,200
F,77,116,6,1,200
G,97,91,10,2,200
H,61,53,76,10,200
I,85,110,5,0,200
J,57,141,1,1,200
K,60,130,9,1,200
L,87,107,6,0,200
M,13,59,75,53,200
N,72,81,43,4,200
O,31,99,69,1,200
P,89,103,8,0,200
Q,82,77,41,0,200
R,105,79,14,2,200
S,167,30,2,1,200
T,80,116,4,0,200
U,49,74,77,0,200
V,72,117,10,1,200
W,24,93,55,28,200
X,162,38,0,0,200
Y,130,65,5,0,200
Z,173,22,5,0,200
