,0,1,2,3,4,5,6,7,8,9,UNK
0,91,4,0,2,6,0,0,0,0,0,2
1,0,27,15,2,4,20,0,11,0,0,0
2,0,4,57,1,3,2,0,1,1,1,0
3,0,1,0,20,0,7,0,21,1,0,0
4,1,9,1,4,11,4,0,0,0,9,8
5,0,6,1,0,6,49,0,0,0,0,2
6,0,2,0,1,9,6,42,0,1,0,3
7,0,2,21,4,1,4,0,14,0,0,2
8,3,0,0,2,0,1,0,0,25,0,1
9,0,0,0,2,0,0,0,1,1,27,3
