Digit,Samples,Correct,Accuracy_%
0,105,91,86.67
1,79,27,34.18
2,70,57,81.43
3,50,20,40.0
4,47,11,23.4
5,64,49,76.56
6,64,42,65.62
7,48,14,29.17
8,32,25,78.12
9,34,27,79.41
