,0,1,2,3+,UNK
0,10,95,0,0,0
1,79,0,0,0,0
2,68,1,1,0,0
3,49,0,1,0,0
4,22,24,0,1,0
5,61,3,0,0,0
6,11,52,1,0,0
7,45,3,0,0,0
8,3,3,25,1,0
9,3,28,1,2,0
